Keyword,Word_1,Similarity_1,Word_2,Similarity_2,Word_3,Similarity_3,Word_4,Similarity_4,Word_5,Similarity_5,Word_6,Similarity_6,Word_7,Similarity_7,Word_8,Similarity_8,Word_9,Similarity_9,Word_10,Similarity_10,Word_11,Similarity_11,Word_12,Similarity_12,Word_13,Similarity_13,Word_14,Similarity_14,Word_15,Similarity_15,Word_16,Similarity_16,Word_17,Similarity_17,Word_18,Similarity_18,Word_19,Similarity_19,Word_20,Similarity_20
Asylant,Wirtschaftsflüchtling,1.156116545200348,Ungeheuer,0.718628466129303,Urlaubszeit,0.6939953565597534,unprüfen,0.690392255783081,oll,0.6875331401824951,Patriarchat,0.6859660744667053,Liebesgruß,0.6845037937164307,Internierungslager,0.6776600480079651,Leistungsanreiz,0.6771931648254395,Romantik,0.6750998497009277,Slawa,0.6741668581962585,Wirtschaftsasylant,0.6502076983451843,asylsuchend,0.6424729228019714,Scheinasylant,0.627074122428894,Asylantenflut,0.6166890859603882,ausforschen,0.6116875410079956,draufgesatteln,0.6101308465003967,Asylbewerber,0.6092960834503174,Jungtier,0.6021116375923157,oberfränkisch,0.6003649234771729
Integration,Integrationsprozeß,3.105132818222046,Sicherheitssystem,2.555631160736084,Friedensordnung,2.5297500491142273,Zusammenschluß,2.0142459869384766,Gemeinschaft,1.8682959079742432,Zusammenwachsen,1.8081651329994202,Eingliederung,1.6927325129508972,Inklusion,1.2815707921981812,Einigungswerk,1.2431688904762268,Einigungsprozeß,1.193385660648346,Teilhabe,1.1820348501205444,Einbindung,1.156283974647522,Integrationspolitik,1.1246238946914673,Migration,1.1005811095237732,Einwanderung,1.095477044582367,Zusammenleben,1.0731300115585327,Demokratisierung,1.0518863201141357,Föderation,0.757815957069397,atlantisch,0.7236746549606323,Zusammenschlusse,0.7054336071014404
Vertriebene,Flüchtling,4.273436367511749,Heimatvertrieben,2.9385796785354614,Aussiedler,2.4326616525650024,Binnenvertrieben,1.931090533733368,Bürgerkriegsflüchtling,1.8367868661880493,jüdisch,1.8035622835159302,Kriegssachgeschädigte,1.3682745099067688,Sowjetzonenflüchtling,1.3455374240875244,Syrer,1.344954013824463,Syrerin,1.3208396434783936,Jude,1.2756782174110413,Kriegsflüchtling,1.263984501361847,Kriegsgefangen,1.241109848022461,Sudetendeutsche,1.1775673031806946,Vertreibung,1.1462676525115967,deutschstämmig,1.1368319392204285,kriegsgeschädigt,0.814163327217102,Evakuierte,0.7276352643966675,Umsiedler,0.6985346078872681,Palästina,0.6970314979553223
Flüchtling,Zuwanderer,4.050516188144684,Asylbewerber,3.7015942335128784,Vertriebene,3.6498618721961975,Aussiedler,3.4605113863945007,Ausländer,2.65449982881546,Bürgerkriegsflüchtling,2.306735396385193,Kriegsflüchtling,2.265287697315216,Kurde,2.037285566329956,Geflüchtete,1.6981237530708313,Heimatvertrieben,1.5865293145179749,Migrant,1.54524165391922,Sowjetzonenflüchtling,1.529237151145935,schutzsuchend,1.4907903671264648,Syrer,1.4410489201545715,Einwanderer,1.3588712215423584,Afghane,1.2986733317375183,asylsuchend,1.2714994549751282,Umsiedler,0.7902436256408691,Kriegssachgeschädigte,0.7737529277801514,Evakuierte,0.7659029364585876
Gastarbeiter,Ausländer,1.3816263675689697,Arbeitskraft,1.302641749382019,Tourist,1.1482515335083008,Jähriger,1.1017387509346008,Vertragsarbeiter,0.7079166769981384,Besucher,0.6891770362854004,Jude,0.6757984161376953,Schiff,0.6575515270233154,Förderschule,0.6509156823158264,Beschäftigte,0.6408603191375732,Standesfall,0.6351553797721863,Landarbeiter,0.6336461901664734,Studierende,0.6334768533706665,Hafen,0.6328294277191162,Oberlauf,0.6295290589332581,Schüler,0.6232689619064331,Grenzgänger,0.6225317716598511,Familienangehörige,0.6210100650787354,Fleisch,0.6155314445495605,Pkw,0.6155043840408325
Fremdarbeiter,Voigt,0.6323431730270386,Flugplatzbau,0.6290915012359619,Kinderspielplatz,0.6079555153846741,Exerzierplätze,0.6009401679039001,Kulturpflanze,0.5988409519195557,Fahrzeugbau,0.5974295139312744,Kellergeschoß,0.5958468317985535,Ödländerei,0.5901472568511963,Nachfolgebetrieb,0.5896486639976501,Herzleiden,0.5879905223846436
Ausländer,Asylbewerber,3.502685785293579,Migrant,2.891121566295624,Aussiedler,2.1037402153015137,staatsangehörig,2.075274407863617,Flüchtling,2.0124142169952393,Türke,2.011359989643097,Zuwanderer,1.9962958097457886,nichtdeutsch,1.9291237592697144,Ausländerin,1.9061263799667358,Einwanderer,1.40458345413208,Gastarbeiter,1.381626546382904,Anwerbung,1.3757941722869873,Tourist,1.3591922521591187,Einreise,1.3562335968017578,Familienangehörige,1.3057766556739807,lebend,1.2737878561019897,Asylsuchende,1.2573068737983704,vollziehbar,1.246695101261139,ausreisepflichtig,0.7616199254989624,ausländisch,0.6977058053016663
Wirtschaftsflüchtling,Scheinasylant,1.2934096455574036,Asylant,1.1561164855957031,erschlagen,0.6366950869560242,Fremdenfeind,0.6263807415962219,Wirtschaftsasylant,0.6102848649024963,Nestbeschmutzer,0.6068488955497742,ingusch,0.6054999232292175,Betrüger,0.6049967408180237,schuldunfähig,0.6004163026809692,geknecht,0.6001571416854858,Deportation,0.5966718792915344,Lügenpresse,0.5936962962150574,asozial,0.5929419994354248,tarnen,0.5905652046203613,Asylantenflut,0.5886449217796326,Anstifter,0.5882664918899536,Arbeitssklave,0.5873883962631226,unreif,0.5857164263725281,Einwanderer,0.5822353959083557,abfeuern,0.5819692015647888
Scheinasylant,Wirtschaftsflüchtling,1.2934096455574036,Wirtschaftsasylant,0.655256986618042,Ausländerheim,0.6301987171173096,Deportation,0.6298376321792603,Asylant,0.627074122428894,abgegriffen,0.623778223991394,Sozialschmarotzer,0.6227848529815674,Schutzgelderpressung,0.6175305843353271,Asylantenflut,0.6164882779121399,Staatsmedizin,0.6012067794799805,Aussonderung,0.600070595741272,Schwerverbrecher,0.5975494980812073,Versklavung,0.588699221611023,Droge,0.5865113139152527,entführen,0.5741590261459351,Republikflucht,0.5615007877349854,Gulag,0.5588118433952332,Irrenhaus,0.5548678040504456,Mine,0.5537940859794617
Wirtschaftsasylant,Scheinasylant,0.655256986618042,Asylant,0.6502076983451843,Wirtschaftsflüchtling,0.6102848649024963,Robben,0.5583808422088623,Mine,0.544601559638977,Droge,0.5358395576477051,Afrikaner,0.5314483642578125,Aussterben,0.5288776159286499,Aussonderung,0.5251418352127075,Verwundete,0.5251327753067017
Migrant,Migrantin,3.099321722984314,Ausländer,2.891121506690979,Einwanderer,2.233639121055603,Zuwanderer,2.2134851217269897,Flüchtling,2.163868725299835,Geflüchtete,1.5109690427780151,schutzsuchend,1.4765196442604065,Asylbewerber,1.4556635022163391,Aussiedler,1.3211891651153564,Ausländerin,1.3152084946632385,Syrer,0.7510212063789368,Asylsuchende,0.7092202305793762,asylsuchend,0.7053739428520203,Kriegsflüchtling,0.7016940116882324,Spätaussiedler,0.6768769025802612,Spätaussiedlerinn,0.655351459980011,Behinderte,0.6544507741928101,Türke,0.644482433795929,Zugewanderte,0.6306042671203613,nichtdeutsch,0.6255701780319214
Geflüchtete,Flüchtling,1.6981239318847656,Migrant,1.5109691619873047,schutzsuchend,1.4672932624816895,Asylbewerber,1.4456520080566406,Syrer,1.2837591767311096,Kriegsflüchtling,0.7733948826789856,Zuwanderer,0.7509962916374207,Asylsuchende,0.6980422139167786,Bürgerkriegsflüchtling,0.6979783773422241,Aufnahme,0.6870422959327698,Quarzsand,0.6799612641334534,asylsuchend,0.6795879602432251,Geduldete,0.6714348793029785,geschändet,0.6701568961143494,angenomen,0.66929692029953,Zifer,0.6677093505859375,Beweissicherungsgesetz,0.6660035252571106,Ehrengabe,0.6658682823181152,ausgewandert,0.6651530265808105,Charaktereigenschaft,0.662749171257019
Asylmißbrauch,Zuatzfrag,0.699300229549408,Ändg,0.6946113705635071,Bafögändg,0.6845128536224365,Istausgabe,0.6820287108421326,Werkfernverkehr,0.6820037364959717,Gemeindefinanzreformgesetz,0.6784541606903076,Verkehrsemission,0.6765815019607544,Strändg,0.6759814620018005,Wirtschaftsschwäche,0.6756936311721802,Wehrrecht,0.6747555732727051,Menschenhandel,0.6573628783226013,Gewalttätigkeit,0.6564735174179077,Erpressung,0.6512957215309143,Machtmißbrauch,0.630011260509491,Extremismus,0.6258406043052673,Legalisierung,0.6242992281913757,Bestrafung,0.6204690337181091,Gewalttat,0.6200206279754639,Mißbrauch,0.6197930574417114,Gewalttäter,0.6187679171562195
Einwanderungsland,Exportnation,1.8528439402580261,Industriestandort,1.8246724009513855,wiedervereinigt,1.2699070572853088,Forschungsstandort,1.2528449892997742,Bildungsrepublik,1.2481908202171326,Innovationsstandort,1.2376445531845093,weltoffen,1.1306226253509521,Hinderungsgrund,1.0352157056331635,Zuwanderungsland,0.677471935749054,Chirurg,0.6687324643135071,Ruhmesblatt,0.6625319719314575,Sanierungsfall,0.6623509526252747,Seltenheit,0.6559211611747742,Erfolgsmodell,0.6536778211593628,Einbahnstraße,0.6524083018302917,Naturgesetz,0.6515697240829468,Bevölkerungsdichte,0.6488967537879944,Unfallziffer,0.6432085633277893,massiert,0.6423068046569824,Fahrprüfung,0.6416239738464355
Asylsuchende,Asylbewerber,3.426176965236664,Geduldete,1.3795936703681946,Bürgerkriegsflüchtling,1.3641558289527893,asylsuchend,1.2956362962722778,Kriegsflüchtling,1.2353139519691467,Flüchtling,1.2238438725471497,Asylbewerberin,0.7320581078529358,Migrant,0.7092201709747314,Geflüchtete,0.698042094707489,abgelehnt,0.6919085383415222,Runft,0.6896637678146362,Litauen,0.6878986358642578,Obduktion,0.6832137107849121,Grundausbildungslehrgänge,0.6816572546958923,Einwanderer,0.6799287796020508,Umsiedlungsbewerber,0.6791010499000549,Beschlagnahmen,0.6782575845718384,Familiennachzug,0.6756445169448853,Zuwanderer,0.6745121479034424,Herleshaus,0.6743039488792419
Asylbewerber,Flüchtling,3.701594114303589,asylsuchend,3.486771047115326,Asylsuchende,2.892653226852417,Ausländer,2.861164927482605,Zuwanderer,2.0734076499938965,Aussiedler,2.0318548679351807,Bürgerkriegsflüchtling,1.5272346138954163,abgelehnt,1.4583882093429565,Geduldete,1.4557399153709412,Migrant,1.4556635618209839,Geflüchtete,1.445652186870575,schutzsuchend,1.424780249595642,Einreise,1.34604150056839,Asylverfahren,1.3220783472061157,Asylbewerberin,0.7746990919113159,ausreisepflichtig,0.7616068720817566,Investmentgesellschaft,0.7312213778495789,eingereist,0.7200014591217041,Württ,0.7125312685966492,Ausfuhrgeschäft,0.7000629901885986
Heimatvertrieben,Vertriebene,2.323228657245636,Jude,1.7892646789550781,Flüchtling,1.5865293741226196,Kriegssachgeschädigte,1.463459551334381,Sowjetzonenflüchtling,1.4147618412971497,Volksgruppe,1.2940639853477478,volkszugehörig,1.2469723224639893,staatsangehörig,1.244309663772583,Ostgebiet,1.219611406326294,jüdisch,1.1656703352928162,Staatsbürger,1.1635335087776184,Volk,1.1230183243751526,Evakuierte,0.7900955677032471,Ausgebombte,0.7285821437835693,Bombengeschädigte,0.7202207446098328,Einheimische,0.7175579071044922,Ostvertrieben,0.7153621912002563,Umsiedler,0.7057296633720398,Palästina,0.685746431350708,Kolonialgeschichte,0.6662023067474365
Asylmissbrauch,Umsatzsteuerbetrug,1.1498878002166748,Steuerflucht,0.6281024813652039,Spielsucht,0.6256434917449951,Feuerbrand,0.6048168540000916,Steuerbetrug,0.5947331190109253,Schleuserkriminalität,0.5846822261810303,Polio,0.5761284828186035,Leistungsmissbrauch,0.5750762224197388,Schienenlärm,0.575050413608551,Zuwiderhandlung,0.5719964504241943,Schädling,0.5705069303512573,Spielmanipulation,0.5700041055679321,Transfeindlichkeit,0.568208634853363,Wohnungslosigkeit,0.5671021938323975,Kinderarbeit,0.5669828057289124,Einsprüch,0.5650681257247925,Mietwuch,0.5646907687187195,Ölverschmutzung,0.5618319511413574,Steuerkriminalität,0.5574020743370056
